backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std
resnet50,EplusT,rp,16,linearsvc,0.5712056198363558,0.01906375626919496,0.5237851905753055,0.019456975622591285,4,0.5712 ± 0.0191,0.5238 ± 0.0195
efficientnet_b0,EplusT,rp,8,knn,0.5748681024551764,0.008697187237004593,0.497430671842168,0.01609157860826355,4,0.5749 ± 0.0087,0.4974 ± 0.0161
efficientnet_b0,EplusT,rp,8,logreg,0.5382760686299457,0.004831622421862909,0.49189660910976774,0.007337054705464556,4,0.5383 ± 0.0048,0.4919 ± 0.0073
mobilenet_v3_small,EplusT,rp,8,linearsvc,0.5062899974865642,0.010308206268371383,0.4540307700049873,0.016134758438991488,4,0.5063 ± 0.0103,0.4540 ± 0.0161
efficientnet_b0,EplusT,rp,8,linearsvc,0.459306879184597,0.006664013129618489,0.39676632261937783,0.012975470436924801,4,0.4593 ± 0.0067,0.3968 ± 0.0130
resnet50,EplusT,rp,8,logreg,0.29204320446213716,0.010046629279759245,0.2620907487965965,0.007303222885526542,4,0.2920 ± 0.0100,0.2621 ± 0.0073
resnet50,EplusT,rp,8,knn,0.24892950107234568,0.01841120284932273,0.20017641936023006,0.012902111389664564,4,0.2489 ± 0.0184,0.2002 ± 0.0129
resnet50,EplusT,rp,8,linearsvc,0.24730615274931228,0.014541336964537592,0.1970049284731194,0.007621122420206194,4,0.2473 ± 0.0145,0.1970 ± 0.0076
mobilenet_v3_small,EplusT,lda,1,logreg,0.06392574744559115,0.010810211081481436,0.03708558241332459,0.0048200061064216536,4,0.0639 ± 0.0108,0.0371 ± 0.0048
efficientnet_b0,EplusT,lda,1,logreg,0.0620718370854399,0.005923886680017565,0.03253715950126762,0.005545313056662418,4,0.0621 ± 0.0059,0.0325 ± 0.0055
resnet50,EplusT,lda,1,logreg,0.05303963607923626,0.008600740642452963,0.027559061525446366,0.0033502462285895504,4,0.0530 ± 0.0086,0.0276 ± 0.0034
